location_region,total_conversion
Maule Region,0
Jeju-do,0
Surat Thani,0
Departamento de Cuscatlan,0
Lviv,0
Penang,0
Sinaloa,0
Chaguanas,0
Moscow,0
West Greece,0
Departamento de Itapua,0
Rheinland-Pfalz,0
Departamento del Valle del Cauca,0
Saint Paul Charlestown,0
Central Region,0
Burgas,0
Mombasa,0
Tuen Mun,0
Ulaanbaatar Hot,0
Manama,0
Liguria,0
K'alak'i T'bilisi,0
Vestland,0
Central District,0
Dhaka Division,0
Plovdiv,0
Primorsko-Goranska Zupanija,0
Rio de Janeiro,0
Castille-La Mancha,0
Tierra del Fuego,0
West Kalimantan,0
Birkirkara,0
Oslo,0
Para,0
Tinh Binh GJinh,0
Korçë County,0
Tinh Khanh Hoa,0
Fribourg,0
Pest megye,0
Shkodër County,0
Yunlin,0
Astana,0
Campania,0
Bangkok,0
Canary Islands,0
Oran,0
Gävleborg County,0
Ruse,0
Islamabad,0
Bali,0
National Capital Territory of Delhi,0
Subcarpathia,0
Zadar,0
Andhra Pradesh,0
Møre og Romsdal,0
Jharkhand,0
Kedah,0
Crete,0
Coimbra,0
Västmanland County,0
Al-Qassim Region,0
Pahang,0
Lower Austria,0
Provincia de Santo Domingo,0
Andalusia,0
Nueva Esparta,0
Aguascalientes,0
Gouvernorat de Nabeul,0
San Juan,0
Departamento Central,0
Ōsaka,0
Alytus,0
Provincia del Guayas,0
Saint James,0
Aichi,0
Federation of B&H,0
Provincia de Pichincha,0
Il-Mosta,0
Greater Poland,0
Melaka,0
Saitama,0
Gasa,0
Northern Territory,0
Terengganu,0
San Luis Potosí,0
Sha Tin,0
Kuala Lumpur,0
Rogaland,0
Himachal Pradesh,0
Apulia,0
Port of Spain,0
South Sumatra,0
North Ostrobothnia,0
Solothurn,0
Chandigarh,0
Muğla,0
Sharjah,0
Sichuan,0
Gwangju,0
Gujarat,0
Lisbon,0
Central Finland,0
Fujian,0
Provincia de San Jose,0
Manitoba,0
Chiba,0
Kronoberg County,0
Baku City,0
New Providence District,0
Bihar,0
Alagoas,0
Goias,0
Algiers,0
Santa Cruz,0
Northern District,0
Paysandú Department,0
Greater Accra Region,0
Mazowieckie,0
Departamento del Huila,0
Appenzell Ausserrhoden,0
East Kalimantan,0
Schwyz,0
Hanoi,0
Bay of Plenty,0
Santiago Metropolitan,0
Nagaland,0
St.-Petersburg,0
Phuket,0
Aydın,0
Baja California Sur,0
Braga,0
Veneto,0
Klaipėda County,0
Jiangsu,0
Mendoza,0
Il-Gzira,0
Basque Country,0
Wyoming,0
Győr-Moson-Sopron,0
Daegu,0
Departamento de Santander,0
Noord-Holland,0
Kayseri,0
Managua Department,0
Portuguesa,0
Pernambuco,0
Departamento de Santa Ana,0
Rio Negro,0
Province 1,0
Catamarca,0
Tinh GJong Nai,0
Taoyuan,0
Neamt,0
Zarqa,0
Serravalle,0
Guanacaste Province,0
Mpumalanga,0
Ordu,0
Nelson,0
Mississippi,0
Haifa,0
Riau,0
Azores,0
South Denmark,0
Tirana,0
Rizal,0
Hyōgo,0
Querétaro,0
Ionian Islands,0
Cairo Governorate,0
Larnaka,0
Split-Dalmatia,0
Tainan,0
Erbil,0
Kerala,0
Bar,0
North Karelia,0
Eastern Cape,0
Uppsala County,0
Zeeland,0
Carinthia,0
Birmingham,0
Incheon,0
Saint George,0
Shiga,0
Flevoland,0
Amman Governorate,0
Nuevo León,0
Manchester,0
Parish of Saint John,0
Occitanie,0
Beijing,0
Atlántico,0
L-Imsida,0
Maharashtra,0
Punjab,0
Tokyo,0
Nairobi,0
Region de Valparaiso,0
Extremadura,0
Chhattisgarh,0
Grand Est,0
Epirus,0
Saint Gallen,0
Khyber Pakhtunkhwa,0
Kaohsiung,0
Miyazaki,0
Draa-Tafilalet,0
Provincia de Loja,0
Upper Austria,0
Saint Michael,0
Paraíba,0
Hualien,0
Centre-Val de Loire,0
Seoul,0
Ismailia Governorate,0
Cesu Novads,0
Puntarenas Province,0
Nova Gorica,0
Yoro Department,0
Aceh,0
Dakahlia,0
Davao,0
Vaud,0
Chihuahua,0
Neuquen,0
Overijssel,0
Appenzell Innerrhoden,0
Thuringia,0
Drenthe,0
West Virginia,0
West Bengal,0
Kyoto,0
Siparia,0
Friuli Venezia Giulia,0
Rio Grande do Norte,0
Entre Rios,0
Wolverhampton,0
New Brunswick,0
Durango,0
Lampung,0
Lesser Poland,0
Nagano,0
Gharbia,0
Kralovehradecky kraj,0
Provincia de Manabi,0
Homyel’ Voblasc’,0
Corsica,0
Yalova,0
Espirito Santo,0
Bogota D.C.,0
Changhua,0
Delaware,0
Samut Prakan,0
Ancash,0
Provincia del Tungurahua,0
Cordoba,0
Tripoli,0
Goa,0
Hokkaido,0
Provincia Duarte,0
Saint Thomas Island,0
Central Jutland,0
Phnom Penh,0
Wallonia,0
Monufia,0
Tây Ninh Province,0
Medina Region,0
Leiria,0
Al-Shahaniya,0
Aswan,0
Şırnak,0
Tanger-Tetouan-Al Hoceima,0
Region Metropolitana,0
Kaafu Atoll,0
Groningen,0
Shanghai,0
Friesland,0
Umbria,0
Viken,0
Nakhon Ratchasima,0
Qena,0
Karlovac,0
Tunapuna/Piarco,0
Izmir,0
Maseru,0
Gaziantep,0
Nuevo Leon,0
Pafos,0
Central Luzon,0
Yogyakarta,0
Sergipe,0
Manzini,0
Paijat-Hame Region,0
Newfoundland and Labrador,0
Östergötland County,0
Masqat,0
Minas Gerais,0
Departamento del Magdalena,0
Tamaulipas,0
Sharqia,0
Acre,0
Tamil Nadu,0
Hauts-de-France,0
Istria,0
Västerbotten County,0
Okinawa,0
Sofia-Capital,0
Troms og Finnmark,0
